energy,photons,n_squared,beta,visibility,detector_efficiency,absorbed_in_sample,total_weight,total_weight_no_vis
39.0,9442692.0,1.30333039833e-13,3.29594424803e-10,0.295883635855,0.968252050542,0.209423464829,399386.831218,1349810.47554
40.0,9283827.0,1.17769017557e-13,3.06158438908e-10,0.225079079039,0.961422012047,0.225492709688,325704.32628,1447066.19411
41.0,9135534.0,1.06683404902e-13,2.85076694077e-10,0.163963821804,0.953883774653,0.241333155645,252416.747913,1539466.11597
42.0,8978109.0,9.68721571982e-14,2.66030073832e-10,0.113800918969,0.945669349524,0.256929336481,184740.542414,1623365.99817
43.0,8810011.0,8.81633132294e-14,2.49302238396e-10,0.0746310465374,0.937208408398,0.271491252126,126380.475469,1693403.50073
44.0,8641782.0,8.04116472127e-14,2.34019485383e-10,0.0456380086488,0.928171747249,0.285829196082,80141.6825121,1756029.3467
45.0,8471327.0,7.34936461313e-14,2.20142191683e-10,0.0254703654864,0.918718175083,0.299730629895,46091.6964823,1809620.53752
46.0,8296350.0,6.73038240448e-14,2.07810974655e-10,0.0125023129754,0.909263824903,0.312654779729,23143.4464023,1851133.18214
47.0,8120262.0,6.17522366321e-14,1.96445180365e-10,0.0050310247805,0.899420109768,0.325315653112,9484.00289517,1885103.59399
48.0,7945939.0,5.6761538342e-14,1.86001103095e-10,0.00141570618408,0.889304534516,0.33760480478,2706.6710555,1911887.56957
49.0,7774882.0,5.22649314187e-14,1.76695235095e-10,0.000167435972255,0.879493056331,0.348874842601,323.088229346,1929622.55957
50.0,7602478.0,4.82049624406e-14,1.68051173269e-10,1.16926426806e-48,0.86945250597,0.359886794525,2.26934390095e-42,1940830.62566
51.0,7432404.0,4.45317222583e-14,1.60009142697e-10,0.00014852348604,0.859213607684,0.370641074499,289.130327819,1946697.69427
52.0,7265658.0,4.12018250154e-14,1.5277881485e-10,0.0011149048422,0.849414128408,0.380505774704,2169.55834853,1945958.31537
53.0,7099229.0,3.81774293963e-14,1.4607604229e-10,0.00352364376285,0.839640600229,0.389992165352,6835.70279964,1939952.86121
54.0,6935494.0,3.54255469333e-14,1.39798763403e-10,0.00780814191247,0.829779410502,0.399250026916,15070.3506168,1930081.54638
55.0,6777258.0,3.2917235415e-14,1.33985179442e-10,0.0142361066556,0.820068481456,0.408084463256,27290.4781547,1916990.28498
56.0,6617544.0,3.06270389692e-14,1.28698677291e-10,0.022936294187,0.810873129059,0.416207809415,43545.472086,1898540.00524
57.0,6461273.0,2.85326174181e-14,1.23718728149e-10,0.0339246383431,0.801663075283,0.424136740696,63699.6234367,1877680.25093
58.0,30462600.0,2.66142255977e-14,1.19022320841e-10,0.0471285339656,0.792451145263,0.431875920744,422082.545031,8955987.15926
59.0,48082310.0,2.48543890322e-14,1.14686300976e-10,0.062408580071,0.783632925889,0.439121898432,891297.674868,14281652.8409
60.0,6016827.0,2.32376400433e-14,1.10675098894e-10,0.0795774715459,0.775213994432,0.445902421271,143507.809796,1803372.32395
61.0,5874302.0,2.1750251143e-14,1.06873363031e-10,0.098415990872,0.766831395829,0.452525856142,174692.51089,1775041.93518
