material,energy,delta,beta
Au,148,1.4538463474864123e-07,2.4322284900681904e-09
Si,148,2.1988189172543062e-08,2.2923749834925643e-11
C,149,1.8673345991255343e-08,1.7565326077015643e-11
O,149,1.3352105596608708e-11,1.2528564349252409e-14
Au,149,1.434370186357881e-07,2.3755018706502775e-09
Si,149,2.1693984352841514e-08,2.2696574513817958e-11
C,150,1.842519422540534e-08,1.7409598390665854e-11
O,150,1.317466482686819e-11,1.241331371450808e-14
Au,150,1.4153385425239226e-07,2.320779237014111e-09
Si,150,2.140564649682662e-08,2.2476027080344664e-11
C,151,1.8181956383503517e-08,1.7256272368404393e-11
O,151,1.3000737853598512e-11,1.2299878542414653e-14
Au,151,1.3966802030401375e-07,2.2676683430086725e-09
Si,151,2.1123019500198534e-08,2.2259066928446496e-11
C,152,1.7943503575701344e-08,1.7105295431595903e-11
O,152,1.2830232508425246e-11,1.2188218494417426e-14
Au,152,1.3783855391704635e-07,2.216111511428853e-09
Si,152,2.0845953540660067e-08,2.2045612528394436e-11
C,153,1.7709711110472623e-08,1.6956616488447955e-11
O,153,1.2663059625232015e-11,1.2078294385729898e-14
Au,153,1.3604452326323295e-07,2.166053489603597e-09
Si,153,2.0574303676638956e-08,2.1835584723395785e-11
C,154,1.7480458331574725e-08,1.6810185882593954e-11
O,154,1.2499132923568412e-11,1.1970068145064999e-14
Au,154,1.3428502636228253e-07,2.1174413325183195e-09
Si,154,2.0307929657733686e-08,2.162890664559163e-11
C,155,1.725562846234901e-08,1.6665955343773775e-11
O,155,1.2338368897306304e-11,1.1863502776022087e-14
Au,155,1.325591899381223e-07,2.0702242922834203e-09
Si,155,2.00466957436926e-08,2.142550363555014e-11
C,156,1.7035108456985248e-08,1.652387794051415e-11
O,156,1.2180686708276355e-11,1.1758562320051626e-14
Au,156,1.3086616832605353e-07,2.0243537135661445e-09
Si,156,1.9790470531490038e-08,2.1225303165088933e-11
C,157,1.681878885839642e-08,1.6383908034715022e-11
O,157,1.2026008084631717e-11,1.1655211820923452e-14
Au,157,1.2920514242823533e-07,1.979782934628497e-09
Si,157,1.95391267900882e-08,2.1028234763267655e-11
C,158,1.6606563662370197e-08,1.624600123805397e-11
O,158,1.1874257223700373e-11,1.1553417290628442e-14
Au,158,1.2757531871506677e-07,1.9364671936372266e-09
Si,158,1.9292541302497004e-08,2.0834229945402654e-11
C,159,1.6398330187682234e-08,1.6110114370124664e-11
O,159,1.1725360699100926e-11,1.1453145676646886e-14
Au,159,1.2597592827017237e-07,1.8943635399340225e-09
Si,159,1.9050594714765506e-08,2.0643222144960738e-11
C,160,1.6193990342618007e-08,1.597584981301722e-11
O,160,1.157924711021351e-11,1.135426439151481e-14
Au,160,1.2440449129512384e-07,1.8536543106032093e-09
Si,160,1.881318035136449e-08,2.0456937781068307e-11
C,161,1.599344492476144e-08,1.584347521871768e-11
O,161,1.1435847933430694e-11,1.1256829370526076e-14
Au,161,1.228647540314037e-07,1.814099647385469e-09
Si,161,1.858016773284807e-08,2.0273757064364234e-11
C,162,1.5796601903073833e-08,1.5713006983911073e-11
O,162,1.1295096205852594e-11,1.116082605595688e-14
Au,162,1.213532627143613e-07,1.7756261669788224e-09
Si,162,1.8351457702019557e-08,2.0093335710850482e-11
C,163,1.560337069876295e-08,1.5584406139541783e-11
O,163,1.1156927155880897e-11,1.1066224766191104e-14
Au,163,1.198693343334681e-07,1.738197913636731e-09
Si,163,1.8126944976446055e-08,1.9915615503770838e-11
C,164,1.5413663486171074e-08,1.545763474566334e-11
O,164,1.1021277980680684e-11,1.0972996611985594e-14
Au,164,1.1841230649190834e-07,1.7017803377058935e-09
Si,164,1.7906527474109997e-08,1.974053980163719e-11
C,165,1.5227395092964895e-08,1.5332655858195405e-11
O,165,1.088808777480543e-11,1.0881113470648833e-14
Au,165,1.1698153666280067e-07,1.6663402325122516e-09
Si,165,1.769010619737477e-08,1.9568053486329067e-11
C,166,1.5044482904521534e-08,1.520943349694789e-11
O,166,1.0757297461822782e-11,1.0790547961210945e-14
